Country Code,GDP Per Capita (Current US Dollars),Population Ages 15-64 (% of Total)
AFG,561.778746269502,53.5989174986911
AGO,3110.80818263013,50.6908628095137
ALB,4146.89625046198,69.4436888572377
ARM,3606.15205715147,69.0155209763623
AZE,3876.9364326427003,70.9815846708652
BDI,285.727442064713,52.59841752044379
BEN,789.4404106856481,53.8984214744666
BFA,649.7304836558351,52.20265452379021
BGD,1358.7797522498,66.0216686480326
BIH,4708.71826065622,69.6459524751935
BLR,4989.25461056406,68.98129776218289
BLZ,4810.56590199317,64.2423846040648
BOL,3104.9560891409496,61.388872509823294
BTN,2804.00022298565,68.2766228149894
CAF,382.213174317687,52.8398098559163
CIV,1526.1971748425199,54.5129015675653
CMR,1032.6487220445401,53.9314436177805
COD,444.505316815516,50.6338111286692
COG,1528.24483012457,54.2339851508666
COM,775.080084704756,57.098721595372496
CPV,2997.75267953531,64.9026984950701
DZA,3843.7523220230396,64.973928024325
EAR,3240.72451541109,64.8772245324578
EGY,3514.4900968880797,61.438698271951296
ETH,706.757754078087,55.394224219330006
FCS,1471.0146505076002,55.703661007642296
FSM,3068.5077713294604,61.86854970124929
GEO,3853.64990352915,66.32186997265251
GHA,1513.4610343274499,57.934681399416505
GIN,508.14507842728796,54.4420327197876
GMB,473.19043627424,52.138851047902406
GNB,620.214764743552,55.4496397528664
GTM,4146.7441286273,59.7483040673859
GUY,4456.55369735494,65.4112294921913
HND,2361.1576195089497,63.174059272455104
HPC,861.5101555246949,53.6042892474284
HTI,739.595436253749,61.94993166062739
IBT,4435.50834426975,65.36418291584121
IDA,1268.10168071172,57.16218583638829
IDB,1754.20461312359,57.6011391950637
IDN,3570.29488811764,67.14583069337719
IDX,1023.47332008504,56.9446161313092
IND,1709.38792119802,65.996647968568
IRQ,4609.60069352322,56.347461675499204
JAM,4868.248262607461,67.5307624364231
JOR,4087.9375167203,60.433594104445106
KEN,1455.35976536469,56.482709277642606
KGZ,1077.0361743347999,64.1285859979643
KHM,1269.90723818913,64.3503737064921
KIR,1449.05823116784,61.382927575505896
LAO,2353.1528746508397,62.7756644259334
LBR,455.370741357005,54.849004827449996
LDC,960.074271128757,56.548091415534294
LIC,615.0728016683439,53.97524893023171
LKA,3835.39481711341,66.01760358395211
LMC,2075.14174998628,63.8461178926739
LMY,4334.0076437743,65.3504753794233
LSO,998.1343715575771,59.992349650901794
MAR,2832.4297771362203,65.8717832174394
MDA,1900.20147934803,73.9568943602436
MDG,401.31887006899495,55.82867110155949
MIC,4781.42037667553,66.6918507325134
MLI,780.507110878306,49.6376321719391
MMR,1275.01760814834,67.1156761502169
MNG,3686.4516981052398,66.74877237812801
MOZ,382.069330425644,51.8356767913506
MRT,1077.5561362616302,56.777302489782706
MWI,300.794825113129,52.727648090340395
NAM,4140.4619324880105,59.593912682637104
NER,363.22697388988195,47.2190932060277
NGA,2177.98516981843,53.1654897552358
NIC,2151.38204656346,65.2453817345504
NPL,729.532501133179,62.6801729896703
PAK,1468.19294647812,60.6166521558857
PHL,2951.07192903542,63.3477481300805
PRE,1358.7514903267402,52.9337426259019
PRY,4080.20464394436,64.084157930016
PSE,2943.4045337363,57.1608562831567
PSS,3720.73663143055,61.216377894994295
RWA,702.835601585743,56.6432848209542
SAS,1639.71225900516,65.1156557066665
SDN,2415.0381621256197,55.3343014603666
SEN,958.073737852607,54.0058685612032
SLB,2005.4836433279602,57.3226741227756
SLE,496.049463350517,55.05968613569961
SLV,4223.58457943469,64.1158903416099
SOM,434.208809668616,50.7487360661366
SSA,1448.7478186627698,54.0489503073685
SSF,1449.99735756316,54.0503740245288
STP,1756.0614700482001,53.8812465609524
SWZ,2775.15390848176,59.467067928029095
TCD,664.29565189928,50.143908930075504
TGO,578.4616936486129,55.35870310873489
TJK,795.843864367519,61.448289749994004
TON,3688.8746359459296,57.8695319355501
TSA,1639.71225900516,65.1156557066665
TSS,1449.99735756316,54.0503740245288
TUN,3688.6463746807794,68.3150975932471
TZA,879.193814026315,51.80708966340921
UGA,615.308803182525,49.84280381069549
UKR,2185.72803066435,68.6060763581231
UZB,2110.64787239513,67.6914579053287
VNM,2185.69028246406,69.9991377730766
VUT,2860.56647483229,59.5868373754632
WSM,4027.7613703455395,57.678411274823894
YEM,990.3347739546319,56.8504274528333
ZMB,1178.3879050120402,52.4164883111059
ZWE,1008.59733051185,55.8050339676597
